,epoch,decoder_0,sindy_x_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,decoder_1,sindy_x_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,decoder_2,sindy_x_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2,decoder_3,sindy_x_3,reg_3,sindy_z_3,active_coeffs_3,coeff_3,decoder_4,sindy_x_4,reg_4,sindy_z_4,active_coeffs_4,coeff_4,decoder_5,sindy_x_5,reg_5,sindy_z_5,active_coeffs_5,coeff_5,decoder_6,sindy_x_6,reg_6,sindy_z_6,active_coeffs_6,coeff_6,decoder_7,sindy_x_7,reg_7,sindy_z_7,active_coeffs_7,coeff_7
0,0.0,0.32537105679512024,0.001092171878553927,9.999999747378752e-06,0.0,60,0.0,0.3554202914237976,0.0009435157408006489,9.999999747378752e-06,0.0,60,0.0,0.29572543501853943,0.0010383554035797715,9.999999747378752e-06,0.0,60,0.0,0.3759864270687103,0.0016254313522949815,9.999999747378752e-06,0.0,60,0.0,0.3637252151966095,0.0014876627828925848,9.999999747378752e-06,0.0,60,0.0,0.4236584007740021,0.0014574333326891065,9.999999747378752e-06,0.0,60,0.0,0.3722081780433655,0.0013421110343188047,9.999999747378752e-06,0.0,60,0.0,0.3677021265029907,0.0018306439742445946,9.999999747378752e-06,0.0,60,0.0
1,50.0,0.07225070893764496,0.0010941381333395839,9.149257493845653e-06,0.0,60,0.0,0.06625702977180481,0.0011086775921285152,9.172990758088417e-06,0.0,60,0.0,0.08027332276105881,0.0014990284107625484,9.372137355967425e-06,0.0,60,0.0,0.09745930880308151,0.0016279268311336637,9.147374839812983e-06,0.0,60,0.0,0.08718471974134445,0.0014884021366015077,9.14875818125438e-06,0.0,60,0.0,0.08892188221216202,0.0014695193385705352,8.831786544760689e-06,0.0,60,0.0,0.08427328616380692,0.0013778171269223094,9.078464245249052e-06,0.0,60,0.0,0.09850915521383286,0.001895521068945527,9.05019805941265e-06,0.0,60,0.0
2,100.0,0.03487688675522804,0.0010911469580605626,8.799994247965515e-06,0.0,60,0.0,0.036338526755571365,0.000995648093521595,9.287568900617771e-06,0.0,60,0.0,0.040038175880908966,0.0015088352374732494,8.097043064481113e-06,0.0,60,0.0,0.04460635408759117,0.0016256837407127023,8.885662282409612e-06,0.0,60,0.0,0.04198291525244713,0.0014869114384055138,8.54491281643277e-06,0.0,60,0.0,0.03960093855857849,0.0014617322012782097,8.418339348281734e-06,0.0,60,0.0,0.038947537541389465,0.0017568734474480152,7.895758244558237e-06,0.0,60,0.0,0.0511702261865139,0.002306667622178793,8.23612299427623e-06,0.0,60,0.0
3,150.0,0.030783459544181824,0.0010824843775480986,8.6789723354741e-06,0.0,60,0.0,0.03215669095516205,0.0009827868780121207,9.340877113572787e-06,0.0,60,0.0,0.03645632416009903,0.0012890450889244676,7.693367479078006e-06,0.0,60,0.0,0.03762119635939598,0.0016323666786774993,8.608647476648912e-06,0.0,60,0.0,0.03655627369880676,0.0014817919582128525,8.04649698693538e-06,0.0,60,0.0,0.0323331244289875,0.0014560418203473091,8.140295904013328e-06,0.0,60,0.0,0.033116862177848816,0.0015465066535398364,7.345256108237663e-06,0.0,60,0.0,0.041252054274082184,0.002085016807541251,7.989663572516292e-06,0.0,60,0.0
4,200.0,0.021182237192988396,0.0011478137457743287,8.332712241099216e-06,0.0,60,0.0,0.020063143223524094,0.0014067102456465364,9.052464520209469e-06,0.0,60,0.0,0.03498052433133125,0.001193193020299077,7.506043857574696e-06,0.0,60,0.0,0.035362549126148224,0.0016269420739263296,8.19269371277187e-06,0.0,60,0.0,0.032121311873197556,0.0014450920280069113,7.704661584284622e-06,0.0,60,0.0,0.02453925646841526,0.0014123455621302128,7.92280479799956e-06,0.0,60,0.0,0.030715325847268105,0.001494131633080542,6.88070576870814e-06,0.0,60,0.0,0.02222565934062004,0.0020317668095231056,7.4751314969034865e-06,0.0,60,0.0
5,250.0,0.012647178955376148,0.0011223568581044674,7.0356923060899135e-06,0.0,60,0.0,0.012288760393857956,0.0011192357633262873,8.322823305206839e-06,0.0,60,0.0,0.031107060611248016,0.0011401085648685694,7.3707292358449195e-06,0.0,60,0.0,0.02188124880194664,0.0016336716944351792,7.775544872856699e-06,0.0,60,0.0,0.01798941381275654,0.0013866944937035441,6.359231974784052e-06,0.0,59,0.0,0.014800643548369408,0.0013510431163012981,7.985488082340453e-06,0.0,60,0.0,0.025068916380405426,0.0013857901794835925,6.290216788329417e-06,0.0,60,0.0,0.016160203143954277,0.0018308112630620599,7.124075636966154e-06,0.0,60,0.0
6,300.0,0.009887827560305595,0.0010056893806904554,6.4677983573346864e-06,0.0,56,1.0,0.009616772644221783,0.0009841294959187508,7.792500582581852e-06,0.0,60,0.0,0.01522398367524147,0.0010381904430687428,7.148293207137613e-06,0.0,60,0.0,0.01484389416873455,0.0014334549196064472,7.2596017162140924e-06,0.0,56,0.0,0.013212221674621105,0.0012572300620377064,5.227700967225246e-06,0.0,45,2.0,0.011918566189706326,0.0012802176643162966,8.010119017853867e-06,0.0,60,0.0,0.01555880717933178,0.001227851491421461,5.687379598384723e-06,0.0,58,0.0,0.013506954535841942,0.0017046943539753556,6.955242497497238e-06,0.0,60,0.0
7,350.0,0.008632579818367958,0.0009311131434515119,6.205337285791757e-06,0.0,49,2.0,0.00827641412615776,0.0009015885880216956,7.3820119723677635e-06,0.0,59,0.0,0.009743476286530495,0.0009338374948129058,6.985295840422623e-06,0.0,60,0.0,0.012207301333546638,0.0012667860137298703,7.143102266127244e-06,0.0,53,0.0,0.01130951289087534,0.0011638473952189088,4.955175882059848e-06,0.0,35,2.0,0.010518519207835197,0.0012223700759932399,8.044074093049858e-06,0.0,53,1.0,0.012140917591750622,0.0011145900934934616,5.4394886319641955e-06,0.0,57,0.0,0.011990676634013653,0.0016035625012591481,6.851984835520852e-06,0.0,59,0.0
8,400.0,0.007831064984202385,0.0008924294961616397,6.116951681178762e-06,0.0,45,2.0,0.007387588266283274,0.000841733708512038,7.067096703394782e-06,0.0,56,1.0,0.007913589477539062,0.0008817527559585869,6.907146598678082e-06,0.0,59,0.0,0.010783000849187374,0.0011457110522314906,7.129593996069161e-06,0.0,48,1.0,0.010215798392891884,0.0010671322233974934,4.977125172445085e-06,0.0,31,3.0,0.009586365893483162,0.0011756002204492688,8.217946742661297e-06,0.0,53,1.0,0.010279675014317036,0.0010337000712752342,5.2887603487761226e-06,0.0,47,0.0,0.010990333743393421,0.0015218652551993728,6.803765245422255e-06,0.0,56,0.0
9,450.0,0.007277204655110836,0.0008673770935274661,6.1020241446385626e-06,0.0,43,3.0,0.0066504827700555325,0.0007969668367877603,6.84156475472264e-06,0.0,55,1.0,0.006896292790770531,0.0008432695176452398,6.870114248158643e-06,0.0,59,0.0,0.009809279814362526,0.0010578861692920327,7.132206519600004e-06,0.0,46,2.0,0.009466126561164856,0.000986983417533338,5.049188075645361e-06,0.0,30,3.0,0.008876417763531208,0.0010878155007958412,8.381659426959231e-06,0.0,53,1.0,0.00915880873799324,0.0009927538922056556,5.274965133139631e-06,0.0,46,0.0,0.010247425176203251,0.001459835679270327,6.822138857387472e-06,0.0,55,0.0
10,500.0,0.006878363434225321,0.0008489149622619152,6.122453214629786e-06,0.0,42,3.0,0.005643465090543032,0.0007560502854175866,6.664874490525108e-06,0.0,55,1.0,0.006153604947030544,0.0007961656083352864,6.835731255705468e-06,0.0,57,0.0,0.009079077281057835,0.0009952801046893,7.148602890083566e-06,0.0,44,2.0,0.008884575217962265,0.0009350653272122145,5.124205017636996e-06,0.0,26,3.0,0.008328059688210487,0.0009611660498194396,8.461056495434605e-06,0.0,50,1.0,0.008405793458223343,0.000958632561378181,5.326752670953283e-06,0.0,44,2.0,0.009579583071172237,0.0014191747177392244,6.852968908788171e-06,0.0,51,0.0
11,550.0,0.00655387993901968,0.0008345592068508267,6.151999514258932e-06,0.0,40,3.0,0.004123438149690628,0.0007109787547960877,6.53739743938786e-06,0.0,52,1.0,0.0055780233815312386,0.0007496721809729934,6.799301900173305e-06,0.0,55,0.0,0.008509567007422447,0.0009356506052426994,7.163626378314802e-06,0.0,43,2.0,0.008326052688062191,0.0009054685360752046,5.216814770392375e-06,0.0,26,3.0,0.00789871346205473,0.0008567471522837877,8.506984158884734e-06,0.0,49,1.0,0.007876881398260593,0.0009281763923354447,5.400886493589496e-06,0.0,41,2.0,0.008525606244802475,0.0013944769743829966,6.876005954836728e-06,0.0,50,0.0
12,600.0,0.006265293341130018,0.0008227885118685663,6.168736490508309e-06,0.0,39,3.0,0.0031062159687280655,0.0006772443884983659,6.446948646043893e-06,0.0,51,1.0,0.0051748803816735744,0.0007130824960768223,6.8050298978050705e-06,0.0,52,1.0,0.008045048452913761,0.0008878145017661154,7.1889635364641435e-06,0.0,43,2.0,0.007320658769458532,0.0009047316270880401,5.316436727298424e-06,0.0,26,3.0,0.0075557418167591095,0.0007911035208962858,8.53926940180827e-06,0.0,49,1.0,0.007480274885892868,0.0008967990870587528,5.489224804477999e-06,0.0,39,2.0,0.0064421421848237514,0.0013608165318146348,6.8448184720182326e-06,0.0,50,0.0
13,650.0,0.0059506529942154884,0.0008187288767658174,6.174198006192455e-06,0.0,38,3.0,0.0025584488175809383,0.0006513510015793145,6.370254595822189e-06,0.0,50,1.0,0.004877540282905102,0.0006785868317820132,6.857989319541957e-06,0.0,51,1.0,0.007627314422279596,0.0008487281738780439,7.225457466120133e-06,0.0,40,2.0,0.005424295552074909,0.0009059101575985551,5.372102805267787e-06,0.0,24,3.0,0.007259873673319817,0.000750495761167258,8.511918167641852e-06,0.0,49,1.0,0.007165797054767609,0.0008701144834049046,5.585412054642802e-06,0.0,37,3.0,0.0049282582476735115,0.0012483122991397977,6.756808033969719e-06,0.0,47,0.0
14,700.0,0.0049503641203045845,0.0008322979556396604,6.137053333077347e-06,0.0,37,3.0,0.0021608006209135056,0.0006301928078755736,6.315581231319811e-06,0.0,48,1.0,0.00466696172952652,0.0006408193148672581,6.929288247192744e-06,0.0,48,1.0,0.007156943902373314,0.0008210276137106121,7.305708550120471e-06,0.0,40,2.0,0.004148098174482584,0.0008741605561226606,5.427804353530519e-06,0.0,24,3.0,0.006933318916708231,0.0007256382377818227,8.47563296701992e-06,0.0,48,1.0,0.0068960231728851795,0.000840327120386064,5.671443886967609e-06,0.0,35,3.0,0.0040673911571502686,0.0011178780114278197,6.70331382934819e-06,0.0,46,0.0
15,750.0,0.0033915701787918806,0.0007823829655535519,6.159463282529032e-06,0.0,35,3.0,0.001842603785917163,0.0006130683468654752,6.299136657617055e-06,0.0,47,1.0,0.004497585352510214,0.0006004551541991532,7.021808414719999e-06,0.0,45,2.0,0.006314868573099375,0.0008023533737286925,7.417249435093254e-06,0.0,38,2.0,0.0033765516709536314,0.0008368788403458893,5.496697667695116e-06,0.0,23,4.0,0.006324623711407185,0.0007285638130269945,8.501345291733742e-06,0.0,48,1.0,0.006633763667196035,0.0008101878920570016,5.734544174629264e-06,0.0,34,3.0,0.0034349882043898106,0.00099623529240489,6.700526682834607e-06,0.0,45,0.0
16,800.0,0.0025687594898045063,0.0007120867376215756,6.223418949957704e-06,0.0,33,3.0,0.0016007603844627738,0.000598365266341716,6.312973710009828e-06,0.0,45,2.0,0.004308667033910751,0.0005598009447567165,7.141886726458324e-06,0.0,45,2.0,0.004863749723881483,0.000820975168608129,7.502759672206594e-06,0.0,38,2.0,0.0028414526022970676,0.000803689647000283,5.5851742217782885e-06,0.0,23,4.0,0.004587691277265549,0.0007918348419480026,8.54675909067737e-06,0.0,45,1.0,0.0063226050697267056,0.0007849581306800246,5.782725565950386e-06,0.0,34,3.0,0.0029776431620121002,0.0009195864549838006,6.720800683979178e-06,0.0,44,0.0
17,850.0,0.0021100069861859083,0.0006604493246413767,6.298039807006717e-06,0.0,33,3.0,0.0014048076700419188,0.0005854192422702909,6.335088528430788e-06,0.0,44,2.0,0.00397602329030633,0.0005264730425551534,7.261258815560723e-06,0.0,45,2.0,0.0038813056889921427,0.0008066404261626303,7.472202469216427e-06,0.0,38,2.0,0.0024592841509729624,0.0007705677999183536,5.67039296583971e-06,0.0,21,4.0,0.0035216452088207006,0.000738845148589462,8.429220542893745e-06,0.0,45,1.0,0.005732022225856781,0.0007589504239149392,5.7994548114947975e-06,0.0,34,3.0,0.0026314875576645136,0.0008764521335251629,6.754470177838812e-06,0.0,42,1.0
18,900.0,0.0018016105750575662,0.0006293730111792684,6.3425841290154494e-06,0.0,30,3.0,0.0012740729143843055,0.0005714258295483887,6.354196557367686e-06,0.0,43,2.0,0.0028913149144500494,0.000533164304215461,7.322183137148386e-06,0.0,44,2.0,0.0032285868655890226,0.0007840180187486112,7.411896604025969e-06,0.0,36,3.0,0.0021448126062750816,0.0007443689974024892,5.765748937847093e-06,0.0,21,4.0,0.0029374221339821815,0.0006634711753576994,8.237191650550812e-06,0.0,44,1.0,0.004373406060039997,0.0007299124263226986,5.785729626950342e-06,0.0,33,4.0,0.0023688829969614744,0.0008489103056490421,6.810383183619706e-06,0.0,42,1.0
19,950.0,0.0015753875486552715,0.000606559740845114,6.400077381840674e-06,0.0,30,3.0,0.0011527265887707472,0.0005557174445129931,6.369717539200792e-06,0.0,40,2.0,0.0017417320050299168,0.0005373230087570846,7.274913514265791e-06,0.0,44,2.0,0.0027696448378264904,0.0007578910444863141,7.353339697147021e-06,0.0,35,3.0,0.001924560870975256,0.0007222908898256719,5.869250344403554e-06,0.0,21,4.0,0.0025028700474649668,0.0006165169761516154,8.040949069254566e-06,0.0,40,1.0,0.0033897357061505318,0.0007027953397482634,5.755446181865409e-06,0.0,32,4.0,0.002157973125576973,0.0008285059011541307,6.863601811346598e-06,0.0,40,1.0
20,1000.0,0.001409050659276545,0.0005817664205096662,6.449640750361141e-06,0.0,30,3.0,0.0010637125233188272,0.0005394798354245722,6.40637972537661e-06,0.0,39,2.0,0.0012415748788043857,0.0005343332886695862,7.2001307671598624e-06,0.0,42,3.0,0.002415200462564826,0.0007363352342508733,7.284595085366163e-06,0.0,35,3.0,0.0017507049487903714,0.0007011877023614943,5.97290818404872e-06,0.0,21,4.0,0.0021648304536938667,0.0005840121884830296,7.87794306233991e-06,0.0,40,1.0,0.0027802337426692247,0.0006674518226645887,5.714578946935944e-06,0.0,31,5.0,0.00199201051145792,0.0008053960627876222,6.930061317689251e-06,0.0,39,1.0
21,1050.0,0.0012852782383561134,0.0005573148955591023,6.5173121583939064e-06,0.0,29,3.0,0.0009923487668856978,0.000519861641805619,6.456616574723739e-06,0.0,37,2.0,0.0009716154891066253,0.000526534509845078,7.10943277226761e-06,0.0,40,3.0,0.002141352742910385,0.0007193814963102341,7.209742307168199e-06,0.0,32,4.0,0.0016194808995351195,0.0006796492380090058,6.0772954384447075e-06,0.0,21,4.0,0.0019030364928767085,0.0005538180121220648,7.729097887931857e-06,0.0,39,1.0,0.002343894215300679,0.0006355386576615274,5.681210495822597e-06,0.0,30,5.0,0.0018661055946722627,0.0007838942110538483,6.995626335992711e-06,0.0,39,1.0
22,1100.0,0.0011996555840596557,0.0005301236524246633,6.624180514336331e-06,0.0,29,3.0,0.0009275291231460869,0.0005000280798412859,6.512962499982677e-06,0.0,36,2.0,0.0008202010067179799,0.0004967612912878394,7.0273813435051125e-06,0.0,39,3.0,0.0019295787205919623,0.0006994883879087865,7.179239219112787e-06,0.0,30,4.0,0.0015058954013511539,0.000657577533274889,6.182988727232441e-06,0.0,21,4.0,0.0017061129910871387,0.0005236322758719325,7.596570867463015e-06,0.0,39,1.0,0.0019838325679302216,0.0006095829303376377,5.6599092204123735e-06,0.0,30,5.0,0.0017771193524822593,0.0007623365381732583,7.0580458668700885e-06,0.0,39,1.0
23,1150.0,0.0010894878068938851,0.0004999657394364476,6.740461230947403e-06,0.0,28,3.0,0.0008757762843742967,0.0004785073106177151,6.560710971825756e-06,0.0,36,2.0,0.0007365183555521071,0.0004607302544172853,7.0025839704612736e-06,0.0,38,3.0,0.0017827496631070971,0.0006813583895564079,7.171698598540388e-06,0.0,29,4.0,0.0014155269600450993,0.0006334123318083584,6.289126304181991e-06,0.0,21,4.0,0.001559275551699102,0.000495142478030175,7.480184194719186e-06,0.0,38,1.0,0.0017294143326580524,0.0005854227347299457,5.633304681396112e-06,0.0,29,5.0,0.0016581385862082243,0.0007374885608442128,7.121128419385059e-06,0.0,37,1.0
24,1200.0,0.001014608540572226,0.0004725403559859842,6.871935966046294e-06,0.0,28,3.0,0.0008271633996628225,0.00045640653115697205,6.596137609449215e-06,0.0,36,2.0,0.0006924275658093393,0.0004277729894965887,7.036268470983487e-06,0.0,37,3.0,0.0016421758336946368,0.0006645862013101578,7.17690136298188e-06,0.0,28,4.0,0.0013490456622093916,0.0006074465345591307,6.394226602424169e-06,0.0,21,4.0,0.0014327159151434898,0.0004762776370625943,7.397311037493637e-06,0.0,33,1.0,0.0015648289117962122,0.0005658853333443403,5.609914296655916e-06,0.0,27,5.0,0.0015821674605831504,0.0007123681716620922,7.200620530056767e-06,0.0,35,1.0
25,1250.0,0.0009539501625113189,0.00044657199759967625,7.0096539275255054e-06,0.0,28,3.0,0.0007928299019113183,0.00043412880040705204,6.6229722506250255e-06,0.0,35,2.0,0.0006387895555235445,0.00040085319778881967,7.090286999300588e-06,0.0,37,3.0,0.0015524019254371524,0.0006488031940534711,7.197228569566505e-06,0.0,28,4.0,0.001280548400245607,0.0005796966142952442,6.497290087281726e-06,0.0,21,4.0,0.0013310540234670043,0.0004456577298697084,7.385835488094017e-06,0.0,31,2.0,0.0014282416086643934,0.0005494035431183875,5.606549621006707e-06,0.0,26,5.0,0.0015106418868526816,0.0006874111713841558,7.296315743587911e-06,0.0,34,1.0
26,1300.0,0.0008997049881145358,0.00042333712917752564,7.1491026574221905e-06,0.0,27,3.0,0.000747393467463553,0.0004122293903492391,6.662135547230719e-06,0.0,32,3.0,0.0006109758978709579,0.0003764706780202687,7.141502464946825e-06,0.0,37,3.0,0.001463866326957941,0.0006349931354634464,7.224893579405034e-06,0.0,28,4.0,0.001227949163876474,0.0005513796932063997,6.596852472284809e-06,0.0,21,4.0,0.0012471360387280583,0.0004252835060469806,7.439864020852838e-06,0.0,30,2.0,0.0013354362454265356,0.0005352973821572959,5.6229364417959005e-06,0.0,24,5.0,0.0014555009547621012,0.0006656955229118466,7.40444329494494e-06,0.0,34,1.0
27,1350.0,0.0008556304965168238,0.0004008653631899506,7.303436177608091e-06,0.0,27,3.0,0.0007099449867382646,0.00039149969234131277,6.723607384628849e-06,0.0,32,3.0,0.0005733018624596298,0.0003537552256602794,7.186979928519577e-06,0.0,37,3.0,0.0013885179068893194,0.0006221786607056856,7.258716777869267e-06,0.0,28,4.0,0.0011825338006019592,0.0005254781572148204,6.689523161185207e-06,0.0,21,4.0,0.001169767347164452,0.00040780878043733537,7.498556897189701e-06,0.0,30,2.0,0.001261462806724012,0.0005245397333055735,5.662853709509363e-06,0.0,24,5.0,0.0014088518219068646,0.000642724335193634,7.52122559788404e-06,0.0,33,1.0
28,1400.0,0.0008388999849557877,0.00038189717452041805,7.451461897289846e-06,0.0,27,3.0,0.0006740616518072784,0.00037112654536031187,6.7836335801985115e-06,0.0,32,3.0,0.0005500219413079321,0.0003348623286001384,7.223799457278801e-06,0.0,37,3.0,0.001322002150118351,0.0006106548826210201,7.306605311896419e-06,0.0,27,4.0,0.001137044164352119,0.0005015974747948349,6.773880159016699e-06,0.0,21,4.0,0.0011099794646725059,0.00039292420842684805,7.5651832958101295e-06,0.0,29,2.0,0.0012128169182687998,0.0005148185882717371,5.7020533859031275e-06,0.0,23,5.0,0.0013774640392512083,0.0006190863205119967,7.640738658665214e-06,0.0,33,1.0
29,1450.0,0.0007759622531011701,0.0003639069327618927,7.593903774250066e-06,0.0,27,3.0,0.0006413758965209126,0.000353065348463133,6.837884029664565e-06,0.0,32,3.0,0.0005301655037328601,0.0003185190726071596,7.2538896347396076e-06,0.0,36,3.0,0.0012653571320697665,0.0006011062068864703,7.374832421191968e-06,0.0,26,4.0,0.0010934231104329228,0.0004801551694981754,6.850408226455329e-06,0.0,21,4.0,0.0010531364241614938,0.0003814271476585418,7.634752364538144e-06,0.0,29,2.0,0.0011572159128263593,0.0005054720095358789,5.756446171290008e-06,0.0,23,5.0,0.0013335540425032377,0.0005963611183688045,7.757635103189386e-06,0.0,32,1.0
30,1500.0,0.0007286813342943788,0.0003481182793620974,7.729240678600036e-06,0.0,27,3.0,0.0006107600056566298,0.00033842792618088424,6.886240043968428e-06,0.0,31,3.0,0.000509121164213866,0.0003044641634915024,7.291274869203335e-06,0.0,34,4.0,0.0012155660660937428,0.0005908572347834706,7.450031262123957e-06,0.0,26,4.0,0.0010419596219435334,0.0004620195832103491,6.9207635533530265e-06,0.0,20,4.0,0.001004700898192823,0.00037171225994825363,7.708905286563095e-06,0.0,29,2.0,0.0011085027363151312,0.000498542794957757,5.809771209897008e-06,0.0,23,5.0,0.0012975024292245507,0.0005776968318969011,7.869819455663674e-06,0.0,32,1.0
31,1550.0,0.0006895381957292557,0.0003338548995088786,7.855845069570933e-06,0.0,27,3.0,0.000579842715524137,0.00032680502044968307,6.935931196494494e-06,0.0,31,3.0,0.0004849850956816226,0.00029279888258315623,7.345528501900844e-06,0.0,33,4.0,0.0011647731298580766,0.0005815207841806114,7.530990842496976e-06,0.0,26,4.0,0.0010024604853242636,0.0004458120674826205,6.989944267843384e-06,0.0,20,4.0,0.0009598297765478492,0.00036338428617455065,7.78682078816928e-06,0.0,29,2.0,0.001065718592144549,0.0004917199839837849,5.863071692147059e-06,0.0,23,5.0,0.0012696572812274098,0.0005622993339784443,7.980779628269374e-06,0.0,31,1.0
32,1600.0,0.0006609344272874296,0.00032124240533448756,7.973762876645196e-06,0.0,27,3.0,0.0005474140634760261,0.0003173795121256262,6.987482265685685e-06,0.0,31,3.0,0.00046750257024541497,0.0002807013806886971,7.402193205052754e-06,0.0,33,4.0,0.0011183626484125853,0.000572804594412446,7.617299161211122e-06,0.0,26,4.0,0.0009629301493987441,0.00043088608072139323,7.057288257783512e-06,0.0,20,4.0,0.0009470289223827422,0.00035685222246684134,7.8666525951121e-06,0.0,28,2.0,0.0010267312172800303,0.000485310738440603,5.915475412621163e-06,0.0,23,5.0,0.0012229530839249492,0.000550545344594866,8.090704795904458e-06,0.0,31,1.0
