,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0
0,0,0.03848334029316902,36.7398796081543,1.7419673204421997,0.0005647855577990413,0.0009280758094973862,0.0,60,0.0
1,50,0.0015517305582761765,0.9286282062530518,0.6193724274635315,0.0003537038282956928,0.00337625271640718,0.0,60,0.0
2,100,0.0007844144711270928,0.4684617817401886,0.31200510263442993,2.9870914659113623e-05,0.003917727619409561,0.0,60,0.0
3,150,0.0004973344039171934,0.2490243911743164,0.24352926015853882,6.6440320551919285e-06,0.004774112720042467,0.0,53,0.0
4,200,0.00035490706795826554,0.17312809824943542,0.1764504611492157,2.78271500064875e-06,0.005325724836438894,0.0,46,0.0
5,250,0.000292136799544096,0.13496942818164825,0.1513693928718567,1.811561105569126e-06,0.005796130746603012,0.0,46,0.14285714285714285
6,300,0.0002345523826079443,0.11242830753326416,0.11608034372329712,1.4745271528227022e-06,0.006042266730219126,0.0,46,0.14285714285714285
7,350,0.0001921230141306296,0.09506489336490631,0.09085176885128021,1.2539703675429337e-06,0.006205092649906874,0.0,45,0.14285714285714285
8,400,0.0001792141847545281,0.08746297657489777,0.08576799929141998,1.182273990707472e-06,0.0059820180758833885,0.0,43,0.14285714285714285
9,450,0.00015444780001416802,0.07595132291316986,0.0723552256822586,1.177570652544091e-06,0.0061400579288601875,0.0,42,0.14285714285714285
10,500,0.00013891370326746255,0.06758590042591095,0.0651393011212349,1.1860859103762778e-06,0.006187316030263901,0.0,40,0.14285714285714285
11,550,0.000126325263408944,0.05946234241127968,0.06067238003015518,1.2055505749231088e-06,0.00618932256475091,0.0,40,0.14285714285714285
12,600,0.00011827224079752341,0.05546808987855911,0.05666756629943848,1.2460236575861927e-06,0.006135340314358473,0.0,40,0.14285714285714285
13,650,0.00011097030073869973,0.05040562525391579,0.05446086823940277,1.2539856015791884e-06,0.006102553568780422,0.0,40,0.14285714285714285
14,700,0.00010583986295387149,0.046481162309646606,0.05324706807732582,1.2767454791173805e-06,0.00611034594476223,0.0,38,0.14285714285714285
15,750,9.911098459269851e-05,0.04278983548283577,0.05023905262351036,1.2817426977562718e-06,0.006080815102905035,0.0,38,0.14285714285714285
16,800,9.416670945938677e-05,0.04058391600847244,0.04755880683660507,1.3084313650324475e-06,0.006022678688168526,0.0,38,0.14285714285714285
17,850,8.798403723631054e-05,0.036035578697919846,0.045980386435985565,1.324039885730599e-06,0.0059667485766112804,0.0,38,0.14285714285714285
18,900,8.242014155257493e-05,0.032860592007637024,0.04364801198244095,1.2813600278605008e-06,0.005910258274525404,0.0,38,0.14285714285714285
19,950,7.81606140662916e-05,0.03035440854728222,0.04196493327617645,1.2802358924091095e-06,0.00583998765796423,0.0,38,0.14285714285714285
20,1000,7.444054062943906e-05,0.029177851974964142,0.039490148425102234,1.3073258742224425e-06,0.00577123137190938,0.0,38,0.14285714285714285
21,1050,7.372695836238563e-05,0.028812408447265625,0.03919292613863945,1.2647019502765033e-06,0.005720355082303286,0.0,37,0.14285714285714285
22,1100,7.117829227354378e-05,0.027823900803923607,0.037695370614528656,1.2708361509794486e-06,0.005657745525240898,0.0,37,0.14285714285714285
23,1150,6.86087369103916e-05,0.026195768266916275,0.036825329065322876,1.282931407331489e-06,0.005586356855928898,0.0,35,0.14285714285714285
24,1200,6.676152406726032e-05,0.025252997875213623,0.035979144275188446,1.2761818197759567e-06,0.005528103560209274,0.0,35,0.14285714285714285
25,1250,6.62964885123074e-05,0.02563517913222313,0.035179488360881805,1.2569067848744453e-06,0.0054805646650493145,0.0,34,0.14285714285714285
26,1300,6.440660217776895e-05,0.02401942014694214,0.03493419289588928,1.25600888623012e-06,0.005451732315123081,0.0,34,0.14285714285714285
27,1350,6.412375660147518e-05,0.02415423095226288,0.03454519063234329,1.2788614185410552e-06,0.005423056427389383,0.0,34,0.14285714285714285
28,1400,6.386479071807116e-05,0.02401217818260193,0.03446502611041069,1.3026919987169094e-06,0.005386280827224255,0.0,34,0.14285714285714285
29,1450,6.050097363186069e-05,0.022683843970298767,0.03246854618191719,1.3198081205700873e-06,0.0053472635336220264,0.0,34,0.14285714285714285
30,1500,6.221859075594693e-05,0.023634789511561394,0.033213067799806595,1.3174214927857975e-06,0.005369414109736681,0.0,33,0.14285714285714285
31,1550,6.073165423003957e-05,0.022745074704289436,0.03266023099422455,1.3461569778883131e-06,0.005325005389750004,0.0,33,0.14285714285714285
32,1600,6.23438972979784e-05,0.024147121235728264,0.03292789310216904,1.3503962463801145e-06,0.005267530679702759,0.0,33,0.14285714285714285
33,1650,6.051141463103704e-05,0.022852711379528046,0.03243190050125122,1.380100911774207e-06,0.0052254218608140945,0.0,33,0.14285714285714285
34,1700,6.0992329963482916e-05,0.022706743329763412,0.03310674801468849,1.3391878610491403e-06,0.005177497863769531,0.0,33,0.14285714285714285
35,1750,6.0962134739384055e-05,0.023310940712690353,0.032517679035663605,1.3788234127787291e-06,0.005132134072482586,0.0,32,0.14285714285714285
36,1800,5.949786282144487e-05,0.022621406242251396,0.03180087357759476,1.4136639947537333e-06,0.005074170418083668,0.0,32,0.14285714285714285
37,1850,6.111073162173852e-05,0.022957216948270798,0.033130016177892685,1.3698813745577354e-06,0.005022132303565741,0.0,32,0.14285714285714285
38,1900,5.873267218703404e-05,0.022056028246879578,0.03170344978570938,1.44505600019329e-06,0.00497175008058548,0.0,32,0.14285714285714285
39,1950,6.27608533250168e-05,0.02397661842405796,0.0338267907500267,1.482645075157052e-06,0.004955961834639311,0.0,31,0.14285714285714285
40,2000,6.059003862901591e-05,0.023088667541742325,0.032605286687612534,1.4667339200968854e-06,0.0048946188762784,0.0,31,0.14285714285714285
