,epoch,total_0,decoder_0,sindy_x_0,latent_0,reg_0,sindy_z_0,active_coeffs_0,coeff_0,total_1,decoder_1,sindy_x_1,latent_1,reg_1,sindy_z_1,active_coeffs_1,coeff_1,total_2,decoder_2,sindy_x_2,latent_2,reg_2,sindy_z_2,active_coeffs_2,coeff_2
0,0,2.814556360244751,2813.052734375,1.5020864009857178,0.0005346980178728,0.0008385849650949,0.0,60,0.0,2.957242012023926,2956.005126953125,1.2356399297714231,0.0004989457083866,0.0009047987987287,0.0,60,0.0,0.04057233780622482,39.297027587890625,1.2740213871002197,0.000433454813901335,0.0008569899364374578,0.0,60,0.0
1,50,0.7149868011474609,713.4833984375,1.5020514726638794,0.0006312469486147,0.0006439021090045,0.0,60,0.0,0.7483252286911011,747.0878295898438,1.2356011867523191,0.0010934898164123,0.0007181953405961,0.0,60,0.0,0.010731070302426815,9.456249237060547,1.2739920616149902,8.076276571955532e-05,0.0007474665762856603,0.0,60,0.0
2,100,0.523844838142395,522.341796875,1.5015230178833008,0.0009640800999477,0.0005519029218703,0.0,60,0.0,0.6071528196334839,605.9154663085938,1.2354172468185425,0.0013402900658547,0.0006122189806774,0.0,60,0.0,0.008552763611078262,7.279143333435059,1.2726436853408813,0.00017074700735975057,0.000805916148237884,0.0,60,0.0
3,150,0.3545115292072296,353.0091552734375,1.5014855861663818,0.0003382221038918,0.0005512304487638,0.0,51,0.0,0.3752857446670532,374.0498046875,1.2350213527679443,0.0003517632721923,0.0005465531721711,0.0,54,0.0,0.006118908524513245,4.847301006317139,1.270683765411377,0.00010352337994845584,0.0008206908241845667,0.0,59,0.0
4,200,0.2985696792602539,297.06756591796875,1.5013597011566162,0.0002357070188736,0.0005076040397398,0.0,41,0.0,0.3144170045852661,313.1811218261719,1.2352194786071775,0.0002068504545604,0.000467278441647,0.0,53,0.1428571428571428,0.005164808593690395,3.9001355171203613,1.2634927034378052,8.670909301145002e-05,0.0010939406929537654,0.0,56,0.0
5,250,0.2751282155513763,273.62701416015625,1.5004658699035645,0.0002376257034484,0.0005088419420644,0.0,37,0.1428571428571428,0.2962823808193207,295.047607421875,1.2341163158416748,0.0002545680617913,0.0003912323445547,0.0,51,0.1428571428571428,0.004746873397380114,3.511788845062256,1.2334518432617188,0.00012901981244795024,0.0015038065612316132,0.0,54,0.0
6,300,0.2632323503494262,261.734375,1.497166395187378,0.0002469463797751,0.0005648945807479,0.0,34,0.1428571428571428,0.2873668670654297,286.13250732421875,1.2337138652801514,0.0002945271553471,0.0003493351978249,0.0,43,0.1428571428571428,0.004190944135189056,3.048614025115967,1.1402026414871216,0.00022296607494354248,0.001904160249978304,0.0,52,0.0
7,350,0.2456168383359909,244.1299743652344,1.4858907461166382,0.0002965240855701,0.0006658127531409,0.0,29,0.1428571428571428,0.2759457528591156,274.7174072265625,1.2275846004486084,0.000327278743498,0.000436786096543,0.0,39,0.2857142857142857,0.003197621088474989,2.1416287422180176,1.0535670518875122,0.0001615388027857989,0.0022638067603111267,0.0,51,0.0
8,400,0.1867881417274475,185.3393402099609,1.447728395462036,0.0002519930130802,0.0008145752944983,0.0,29,0.2857142857142857,0.2541695833206177,252.96636962890625,1.202297329902649,0.0003025324840564,0.0006299876840785,0.0,37,0.2857142857142857,0.0025531724095344543,1.623769998550415,0.9265830516815186,0.00019617564976215363,0.0026233575772494078,0.0,50,0.0
9,450,0.1385014653205871,137.09707641601562,1.403345823287964,9.942820179276168e-05,0.0009407568722963,0.0,28,0.2857142857142857,0.2060492634773254,204.87945556640625,1.1686837673187256,0.0003402084112167,0.0007882802165113,0.0,34,0.2857142857142857,0.002102681901305914,1.3339601755142212,0.7655367851257324,0.00022484723012894392,0.0029599242843687534,0.0,50,0.0
10,500,0.1143582686781883,112.98480224609376,1.3723188638687134,6.885972106829286e-05,0.0010895890882238,0.0,26,0.2857142857142857,0.1573566645383834,156.2093505859375,1.14612078666687,0.0001828469103202,0.0010032510617747,0.0,32,0.2857142857142857,0.0018017534166574478,1.168046236038208,0.6302862763404846,0.00020337328896857798,0.003217448480427265,0.0,50,0.0
11,550,0.1019387394189834,100.58390808105467,1.3534536361694336,6.311475590337068e-05,0.0013093469897285,0.0,25,0.4285714285714285,0.1255354434251785,124.40834045410156,1.1257882118225098,0.0001130099262809,0.0012008304474875,0.0,31,0.2857142857142857,0.0016247229650616646,1.060707926750183,0.5604950189590454,0.0001742881431709975,0.0033456829842180014,0.0,50,0.0
12,600,0.0944208800792694,93.0780029296875,1.3413643836975098,5.821626109536737e-05,0.0014579822309315,0.0,25,0.4285714285714285,0.1076604276895523,106.54953002929688,1.109428882598877,8.627092029200867e-05,0.001384140108712,0.0,31,0.2857142857142857,0.0015108861261978745,0.9768028855323792,0.5305338501930237,0.00014767065295018256,0.0034017746802419424,0.0,49,0.0
13,650,0.089384451508522,88.05276489257812,1.33005952835083,5.390189471654594e-05,0.0015745442360639,0.0,25,0.4285714285714285,0.0955552980303764,94.45999145507812,1.093701720237732,7.156569336075336e-05,0.0015323581174015,0.0,31,0.2857142857142857,0.001409338554367423,0.9019941091537476,0.5037600994110107,0.0001171745389001444,0.0034671833273023367,0.0,49,0.0
14,700,0.0853519588708877,84.0311508178711,1.3190491199493408,5.063490971224383e-05,0.00171453517396,0.0,25,0.4285714285714285,0.0884661376476287,87.38616180419922,1.0781826972961426,6.392392970155925e-05,0.0017220262670889,0.0,31,0.2857142857142857,0.0013138428330421448,0.8282928466796875,0.48189476132392883,8.98424768820405e-05,0.003565299790352583,0.0,48,0.0
15,750,0.0820241048932075,80.7112808227539,1.3109121322631836,4.975760384695605e-05,0.0018622744828462,0.0,24,0.4285714285714285,0.0835064128041267,82.44082641601562,1.0636482238769531,5.994762250338681e-05,0.0018792900955304,0.0,31,0.2857142857142857,0.0012139403261244297,0.7462936639785767,0.4639080762863159,6.67981366859749e-05,0.0036718263290822506,0.0,48,0.0
16,800,0.0790790468454361,77.77397155761719,1.3030176162719729,5.089483238407411e-05,0.0020094169303774,0.0,24,0.4285714285714285,0.0799820721149444,78.92743682861328,1.0526179075241089,5.868282460141927e-05,0.0019602491520345,0.0,31,0.2857142857142857,0.0011207542847841978,0.6662883162498474,0.45065465569496155,4.934343451168388e-05,0.003761939937248826,0.0,48,0.0
17,850,0.0768399089574813,75.5411605834961,1.2965558767318726,5.54347425349988e-05,0.0021319491788744,0.0,24,0.4285714285714285,0.0775960683822631,76.55119323730469,1.042760133743286,5.986439646221697e-05,0.0020620776340365,0.0,30,0.2857142857142857,0.0010432794224470854,0.5994664430618286,0.43994224071502686,3.715065395226702e-05,0.0038336210418492556,0.0,48,0.0
18,900,0.0740304738283157,72.73924255371094,1.2889420986175537,6.322853732854128e-05,0.0022261899430304,0.0,24,0.4285714285714285,0.0758325010538101,74.79772186279297,1.0325729846954346,6.327073788270354e-05,0.0021475343964993,0.0,30,0.2857142857142857,0.0009777864906936884,0.5475304126739502,0.4263116717338562,3.0299815989565104e-05,0.003914132248610258,0.0,48,0.0
19,950,0.0718379020690918,70.5523681640625,1.2831170558929443,7.55017317715101e-05,0.0023378827609121,0.0,24,0.4285714285714285,0.0746260210871696,73.60220336914062,1.02149760723114,6.899504660395905e-05,0.0022493815049529,0.0,30,0.2857142857142857,0.000920525286346674,0.5047696232795715,0.411687970161438,2.6129580874112435e-05,0.004041645210236311,0.0,48,0.0
20,1000,0.0698679387569427,68.58779907226562,1.277598857879639,9.162076457869262e-05,0.00245210994035,0.0,24,0.4285714285714285,0.0736327171325683,72.62057495117188,1.0097179412841797,7.672685023862869e-05,0.0023509219754487,0.0,30,0.2857142857142857,0.0008679638267494738,0.4670085310935974,0.39673125743865967,2.3222157324198633e-05,0.004200789611786604,0.0,47,0.0
